scaffold1,scaffold2,connections
32027,3557,2
11162,74987,19
10836,97252,4
3951,854,22
21964,44265,2
121785,34977,2
108626,4761,13
1718,2000,3
3921,6760,2
23464,40953,5
18276,80265,8
131356,2419,5
17930,25634,3
1920,57724,5
13548,16041,3
27213,56781,5
5374,53848,6
1597,6807,2
23641,76944,2
106201,6503,5
28530,9530,3
18592,59743,3
56550,74909,4
19834,67980,2
6385,69676,109
111996,86513,6
1079,1512,10
38589,43573,3
134903,17523,2
107875,4401,5
2114,6911,4
17785,8525,2
440,45,97
145,319,6
4333,44699,17
127372,47342,2
16227,3312,3
12889,37420,2
17242,37322,3
16823,32015,2
27303,30391,3
114,301,5
102566,215,18
172,19602,3
110,74019,10
61328,89781,2
15850,2944,3
22795,30112,6
100988,5635,2
11577,5233,9
25480,7359,2
18665,68249,3
1897,70980,10
1376,16648,2
282,305,11
13656,54270,4
132433,24505,2
2779,350,3
119489,5024,7
3829,4048,5
15435,20525,15
122534,39952,3
3474,54957,26
31475,93744,2
79532,87863,11
16579,4831,2
116796,39347,2
105717,4473,2
1002,72,4
37723,56547,2
1607,17298,15
6619,98391,2
20251,9965,4
29818,6997,5
259,61087,10
160,4035,2
67975,7457,7
12414,132642,6
11973,12811,2
41647,94563,3
17768,6896,8
373,541,4
1594,1922,2
27646,51504,2
3150,407,4
2685,9341,5
127159,130313,5
5077,706,2
15850,745,6
20251,4466,6
52042,65304,2
113,3749,99
1435,1435,2
45391,93,148
17259,2759,3
13595,670,2
106994,63596,2
22039,99328,5
1673,5024,5
17916,3792,2
11456,72,383
2355,2636,2
53905,53906,2
2874,83067,5
10914,30329,3
57141,69986,5
19342,2780,122
12609,19644,3
1491,79,4
20725,63445,3
39712,7649,2
35581,7971,5
17850,38614,12
465,90816,3
67482,6836,4
26157,75259,2
26598,44812,2
116777,13547,3
22926,92646,2
45286,48828,2
116779,498,17
15512,43567,7
28192,61485,2
1979,35407,2
24420,952,2
1599,7774,2
1964,20689,6
43715,90232,5
111186,6017,5
19473,30996,3
16391,95808,2
1559,46267,6
124939,33780,2
